"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.12195224606242e-199,1.06432525505055,0.256,0.11,7.82173915728478e-195,"11","Rtp4"
3.89868441751463e-199,1.07843379452457,0.337,0.169,9.76776393964116e-195,"11","Tcof1"
3.04406932753581e-198,0.982665874763933,0.421,0.238,7.62661129320822e-194,"11","Epn1"
1.64403769571494e-197,0.63675691089948,0.664,0.472,4.11897204284422e-193,"11","Gdi2"
3.38481977790853e-196,0.783945243915794,0.482,0.281,8.48032747157203e-192,"11","Tapbp"
1.22344709336007e-194,1.14836077630882,0.31,0.151,3.06522434770432e-190,"11","Ncor2"
3.86873867999913e-194,0.983152741165973,0.346,0.174,9.69273788886981e-190,"11","Pkn1"
5.35950717795461e-192,0.497020011668423,0.596,0.369,1.34277092836475e-187,"11","Marcks"
6.70507074039724e-191,0.85055888097904,0.465,0.272,1.67988842329912e-186,"11","Rab5c"
9.27577413384927e-191,0.682996703792549,0.656,0.467,2.3239524514946e-186,"11","Wasf2"
2.18902729572388e-190,1.06077457045419,0.317,0.156,5.48438898670661e-186,"11","Mgat2"
4.07787717902579e-190,0.799375675686427,0.552,0.361,1.02167134843312e-185,"11","Tmem160"
4.61187050068322e-190,0.586843770715421,0.612,0.414,1.15545803524117e-185,"11","Sec11c"
6.17167482997052e-190,1.00559330595944,0.265,0.118,1.54625141190081e-185,"11","Snap23"
6.63035766227378e-189,0.551247852402931,0.785,0.645,1.66116980870607e-184,"11","Snrpg"
9.11648856934764e-189,0.724853648950468,0.608,0.42,2.28404504616436e-184,"11","Timm10b"
9.28110877758937e-189,0.922874943634308,0.348,0.174,2.32528899313724e-184,"11","Tle4"
6.71554996280361e-188,0.383948809897999,0.837,0.702,1.68251388768082e-183,"11","Neat1"
2.88593769989694e-187,0.765275080494125,0.622,0.446,7.2304283133218e-183,"11","Zfp706"
1.12383930084894e-186,1.03639741259866,0.343,0.177,2.81566698434693e-182,"11","Derl1"
6.04735591073967e-186,0.98090594597713,0.356,0.187,1.51510454987672e-181,"11","Otulin"
1.01173881338789e-183,0.894671577490154,0.453,0.271,2.53481042306203e-179,"11","Ube2a"
7.85482899600846e-183,0.784135778286,0.548,0.359,1.96794885665996e-178,"11","Bnip3l"
8.92053297491412e-183,1.17578721161065,0.268,0.125,2.23495033153498e-178,"11","Ppp1r9b"
4.05075230174569e-182,0.980934979846418,0.376,0.205,1.01487548167937e-177,"11","Zc3hav1"
